Machine,Sub_Machine,.,Task_Description,Task_Code,Estimated_mins,Crew,Period_freq,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
TRG 17,الليميتات و البروكسيمتي,10,تنظيف و تاكيد تثبيت الليمتات و البروكسيمتى,190,20,2 Elect,4,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,,
TRG 17,PLC و Backplan,11,تنظيف الBackplan و كارتات الPLC,200,240,1 Elect,52,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG 18,شربونات المواتير,1,الكشف و تنظيف شربونات المواتير,100,20,1 Elect,4,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,,
TRG 18,فلاتر المواتير,2,تنظيف فلاتر المواتير,110,40,1 Elect,4,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,,
TRG 18,ترامل البانل و المواتير,3,إعادة الربط على جميع ترامل البانل و المواتير,130,120,1 Elect,52,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG 18,فرامل المواتير,4,ضبط فرامل المواتير,235,40,1 Elect,4,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,,
TRG 18,الكونتكترات,5,الكشف على الكونتكترات,160,60,1 Elect,26,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG 18,البانل,6,تنظيف البانل,140,45,1 Elect,4,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,,
TRG 18,تكييف البانل,7,التاكد من عمل تكيف البانل,150,10,1 Elect,4,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,,
TRG 18,السفتي,8,الكشف على السفتي,170,25,2 Elect,4,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,,
TRG 18,الفوتوسيل,9,تنظيف و تاكيد تثبيت الفوتوسيل,180,30,1 Elect,4,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,,
